,predicted prices,Date
285,3544.770404,11/16/2021
286,3540.192277,11/17/2021
287,3548.462841,11/18/2021
288,3691.888095,11/19/2021
289,3673.763633,11/22/2021
290,3572.48383,11/23/2021
291,3579.882365,11/24/2021
292,3580.434169,11/26/2021
293,3506.806578,11/29/2021
294,3562.117563,11/30/2021
295,3509.56022,12/1/2021
296,3447.809358,12/2/2021
297,3441.346471,12/3/2021
298,3394.947974,12/6/2021
299,3431.168827,12/7/2021
300,3524.560287,12/8/2021
301,3524.553454,12/9/2021
302,3486.003059,12/10/2021
303,3447.867187,12/13/2021
304,3396.275279,12/14/2021
305,3386.868801,12/15/2021
306,3469.066183,12/16/2021
307,3382.620413,12/17/2021
308,3404.469053,12/20/2021
309,3347.404775,12/21/2021
310,3411.593968,12/22/2021
311,3423.884545,12/23/2021
312,3424.50319,12/27/2021
313,3397.372235,12/28/2021
314,3416.318943,12/29/2021
315,3388.116292,12/30/2021
316,3377.066329,12/31/2021
317,3339.550635,1/3/2022
318,3410.495381,1/4/2022
319,3355.303501,1/5/2022
320,3293.444162,1/6/2022
321,3271.369125,1/7/2022
322,3257.365668,1/10/2022
323,3236.26093,1/11/2022
324,3310.976275,1/12/2022
325,3308.339266,1/13/2022
326,3230.865969,1/14/2022
327,3247.925619,1/18/2022
328,3185.469693,1/19/2022
329,3133.758741,1/20/2022
330,3042.687753,1/21/2022
331,2863.730358,1/24/2022
332,2900.174438,1/25/2022
333,2806.249722,1/26/2022
334,2774.979237,1/27/2022
335,2795.551145,1/28/2022
336,2878.437455,1/31/2022
337,2993.81271,2/1/2022
338,3026.417145,2/2/2022
339,3013.907727,2/3/2022
340,2781.210639,2/4/2022
341,3142.323624,2/7/2022
342,3159.8164,2/8/2022
343,3217.91028,2/9/2022
344,3232.603526,2/10/2022
345,3180.189252,2/11/2022
346,3073.481339,2/14/2022
347,3098.786216,2/15/2022
348,3134.19679,2/16/2022
349,3160.840461,2/17/2022
350,3099.554324,2/18/2022
351,3052.046047,2/22/2022
352,3008.138748,2/23/2022
353,2900.383451,2/24/2022
354,3020.332338,2/25/2022
355,3080.375831,2/28/2022
356,3071.422024,3/1/2022
357,3027.20672,3/2/2022
358,3039.820628,3/3/2022
359,2964.813997,3/4/2022
360,2912.591007,3/7/2022
361,2757.591053,3/8/2022
362,2716.42169,3/9/2022
363,2786.864803,3/10/2022
364,2933.242058,3/11/2022
365,2917.609796,3/14/2022
366,2837.437702,3/15/2022
367,2948.143509,3/16/2022
368,3060.083627,3/17/2022
369,3141.321246,3/18/2022
370,3226.151169,3/21/2022
371,3232.772345,3/22/2022
372,3296.759594,3/23/2022
373,3273.268053,3/24/2022
374,3271.829233,3/25/2022
375,3298.12515,3/28/2022
376,3378.859786,3/29/2022
377,3390.762784,3/30/2022
378,3327.718863,3/31/2022
